No.,Alarm_Index,ID_Alarm,Alarm_Name,Alarm_Type,Alarm_Value
0,32,M32,AIR_PRESSURE_LOW,b,0
1,33,M33,INDEX_MOTOR_OVERLOAD,b,0
2,34,M34,MANUAL_CONTROL_NOT_ON,b,0
3,35,M35,EMERGENCY_STOP_PREESD,b,0
4,36,M36,MANCHINE_IN_AUTO_MODE,b,0
5,37,M37,MANUAL_MODE_SELECTED,b,0
6,38,M38,BOWL_FEEDER_SWITCH_NOT_ON,b,0
7,39,M39,LINEAR_FEEDER_SWITCH_NOT_ON,b,0
8,72,M72,CC_LINK_COMMUNICATION_ERROR,b,0
9,73,M73,SET_BATCH_QTY_RECHED,b,0
10,41,M41,S1_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,b,0
11,42,M42,S1_SLING_PLATE_VERT_LIFT_CYL_NOT_DN_,b,0
12,44,M44,S2_HORZ_PICK_&_PLACE_CYL_NOT_REV,b,0
13,45,M45,S2_SING_PLATE_VERT_LIFT_CYL_NOT_DN,b,0
14,47,M47,S3_SILICON_PRESSING_CYL_NOT_UP_TR1,b,0
15,48,M48,S3_SILICON_PRESSING_CYL_NOT_UP_TR2,b,0
16,49,M49,S3_SILICON_PRESSING_CYL_NOT_UP_TR3,b,0
17,50,M50,S3_SILICON_PRESSING_CYL_NOT_UP_TR4,b,0
18,52,M52,S4_HORZ_PICK_&_PLACE_SLIDE_NOT_REV,b,0
19,53,M53,S4_SING_PLATE_VERT_LIFT_CYL_NOT_UP,b,0
20,55,M55,S5_VERT_SLIDE_NOT_DN,b,0
21,57,M57,S6_SUPPORT_CYL_NOT_DN_TR2,b,0
22,58,M58,S6_SUPPORT_CYL_NOT_DN_TR4,b,0
23,60,M60,S6_WELDING_UNIT_NOT_READY,b,0
24,59,M59,S6_WELDING_MC_ALARM,b,0
25,62,M62,S7_SUPPORT_CYL_NOT_DN_TR1,b,0
26,63,M63,S7_SUPPORT_CYL_NOT_DN_TR3,b,0
27,64,M64,S7_WELDING_MC_ALARM,b,0
28,65,M65,S7_WELDING_UNIT_NOT_READY,b,0
29,67,M67,S10_HOLDING_CYL_NOT_REV_TR1-X110,b,0
30,68,M68,S10_HOLDING_CUL_NOT_REV-X111,b,0
31,69,M69,S10_HOLDING_CYL_NOT_REV_TR3_-X130,b,0
32,70,M70,S11_HORZ_PICK_&_PLACE_SLIDE_NOT_REV_,b,0
33,71,M71,S10_HOLDING_CYL_NOT_REV_TR4,b,0
34,40,M40,S3_HOLDING_CYL_NOT_REV,b,0
35,43,M43,S6_HOLDING_CYL_NOT_REV,b,0
36,46,M46,S7_HOLDING_CYL_NOT_REV,b,0
37,75,M75,S1_LOW_LEVEL_FLG_TR1,b,0
38,76,M76,S1_LOW_LEVEL_FLG_TR2,b,0
39,77,M77,S1_LOW_LEVEL_FLG_TR3,b,0
40,78,M78,S1_LOW_LEVEL_FLG_TR4,b,0
41,96,M96,S4_LL_FLG_TR1,b,0
42,97,M97,S4_LL_FLG_TR2,b,0
43,98,M98,S4_LL_FLG_TR3,b,0
44,99,M99,S4_LL_FLG_TR4,b,0
45,106,M106,FRONT_DOOR_OPEN-X140,b,0
46,107,M107,BACK_DOOR_OPEN-X141,b,0
47,108,M108,LEFT_DOOR_OPEN-X142,b,0
48,109,M109,RIGHT_DOOR_OPEN-X143,b,0
49,111,M111,S12_JOB_NOT_ECEJTED_TR1,b,0
50,112,M112,S12_JOB_NOT_ECEJTED_TR2,b,0
51,113,M113,S12_JOB_NOT_ECEJTED_TR3,b,0
52,114,M114,S12_JOB_NOT_ECEJTED_TR4,b,0
53,150,M150,S1_LOW_LEVEL_FLG_TR1,b,0
54,151,M151,S1_LOW_LEVEL_FLG_TR2,b,0
55,148,M148,S1_LOW_LEVEL_FLG_TR3,b,0
56,149,M149,S1_LOW_LEVEL_FLG_TR4,b,0
57,143,M143,S4_LL_FLG_TR1,b,0
58,144,M144,S4_LL_FLG_TR2,b,0
59,145,M145,S4_LL_FLG_TR3,b,0
60,146,M146,S4_LL_FLG_TR4,b,0
61,80,M80,S1_BOTTOM_CAP_MISSING_TR1,b,0
62,81,M81,S3_SILICON_PRESENCE_MISSING_TR1,b,0
63,82,M82,S5_COVER_PRESENCE_MISSING_TR1_,b,0
64,83,M83,S8_HEIGHT_CHK_MISSING_TR1,b,0
65,84,M84,S1_BOTTOM_CAP_MISSING_TR2,b,0
66,85,M85,S3_SILICON_PRESENCE_MISSING_TR2,b,0
67,86,M86,S5_COVER_PRESENCE_MISSING_TR2,b,0
68,87,M87,S9_HEIGHT_CHK_MISSING_TR2,b,0
69,88,M88,S1_BOTTOM_CAP_MISSING_TR3,b,0
70,89,M89,S3_SILICON_PRESENCE_MISSING_TR3,b,0
71,90,M90,S5_COVER_PRESENCE_MISSING_TR3,b,0
72,91,M91,S8_HEIGHT_CHK_MISSING_TR3,b,0
73,92,M92,S1_BOTTOM_CAP_MISSING_TR4,b,0
74,93,M93,S3_SILICON_PRESENCE_MISSING_TR4,b,0
75,94,M94,S5_COVER_PRESENCE_MISSING_TR4,b,0
76,95,M95,S9_HEIGHT_CHK_MC_TR4,b,0
77,131,M131,S7_WELDING_CHK_MISSING_TR1_,b,0
78,132,M132,S7_WELDING_CHK_MISSING_TR3,b,0
79,133,M133,S6_WELDING_CHK_MISSING_TR2,b,0
80,134,M134,S6_WELDING_CHK_MISSING_TR4,b,0
81,115,M115,S10_LEAK_TEST_MISS_TR1,b,0
82,51,M51,S10_LEAK_TEST_MISS_TR2,b,0
83,116,M116,S10_LEAK_TEST_MISS_TR3,b,0
84,117,M117,S10_LEAK_TEST_MISS_TR4,b,0
85,125,M125,S1_B-F-1_JAM_,b,0
86,126,M126,S1_B-F-2_JAM_,b,0
87,127,M127,S2_B-F_-1_JAM,b,0
88,128,M128,S4_B-F_-1_JAM_,b,0
89,129,M129,S4_B-F-2_JAM,b,0
